Run	Assay Type	AvgSpotLen	Bases	BioProject	BioSample	BioSampleModel	Bytes	Center Name	collected_by	Collection_Date	Consent	DATASTORE filetype	DATASTORE provider	DATASTORE region	Experiment	geo_loc_name_country	geo_loc_name_country_continent	geo_loc_name	Host_disease	Host	Instrument	Isolate	Isolation_Source	Library Name	LibraryLayout	LibrarySelection	LibrarySource	Organism	Platform	ReleaseDate	Sample Name	SRA Study
SRR19681668	AMPLICON	74	749377163	PRJNA614995	SAMN29150168	SARS-CoV-2: clinical or host-associated	252873895	UPHL_ID	Utah Public Health Laboratory	2022/5/26	public	"activ_sars2_vcf,sra"	"gs,ncbi,s3"	"gs.US,ncbi.public,s3.us-east-1"	SRX15730646	USA	North America	USA: Utah	COVID-19	Homo sapiens	Illumina NovaSeq 6000	UT-UPHL-220611384746	patient isolate	UT-UPHL-220611384746	SINGLE	PCR	VIRAL RNA	Severe acute respiratory syndrome coronavirus 2	ILLUMINA	2022-06-16T00:00:00Z	UT-UPHL-220611384746	SRP253926
SRR19681673	AMPLICON	74	286567830	PRJNA614995	SAMN29150165	SARS-CoV-2: clinical or host-associated	96330078	UPHL_ID	Utah Public Health Laboratory	2022/5/23	public	"activ_sars2_vcf,sra"	"gs,ncbi,s3"	"gs.US,ncbi.public,s3.us-east-1"	SRX15730641	USA	North America	USA: Utah	COVID-19	Homo sapiens	Illumina NovaSeq 6000	UT-UPHL-220611721123	patient isolate	UT-UPHL-220611721123	SINGLE	PCR	VIRAL RNA	Severe acute respiratory syndrome coronavirus 2	ILLUMINA	2022-06-16T00:00:00Z	UT-UPHL-220611721123	SRP253926
SRR19681682	AMPLICON	74	440187450	PRJNA614995	SAMN29150157	SARS-CoV-2: clinical or host-associated	137299276	UPHL_ID	Utah Public Health Laboratory	2022/5/6	public	"activ_sars2_vcf,sra"	"gs,ncbi,s3"	"gs.US,ncbi.public,s3.us-east-1"	SRX15730632	USA	North America	USA: Utah	COVID-19	Homo sapiens	Illumina NovaSeq 6000	UT-UPHL-220611477146	patient isolate	UT-UPHL-220611477146	SINGLE	PCR	VIRAL RNA	Severe acute respiratory syndrome coronavirus 2	ILLUMINA	2022-06-16T00:00:00Z	UT-UPHL-220611477146	SRP253926
SRR19734950	AMPLICON	74	295757667	PRJNA614995	SAMN29178114	SARS-CoV-2: clinical or host-associated	94961808	UPHL_ID	Utah Public Health Laboratory	2022/5/30	public	"activ_sars2_vcf,sra"	"gs,ncbi,s3"	"gs.US,ncbi.public,s3.us-east-1"	SRX15781416	USA	North America	USA: Utah	COVID-19	Homo sapiens	Illumina NovaSeq 6000	UT-UPHL-220611838810	patient isolate	UT-UPHL-220611838810	SINGLE	PCR	VIRAL RNA	Severe acute respiratory syndrome coronavirus 2	ILLUMINA	2022-06-17T00:00:00Z	UT-UPHL-220611838810	SRP253926
SRR19734954	AMPLICON	74	363942617	PRJNA614995	SAMN29178110	SARS-CoV-2: clinical or host-associated	118429849	UPHL_ID	Utah Public Health Laboratory	2022/5/28	public	"activ_sars2_vcf,sra"	"gs,ncbi,s3"	"gs.US,ncbi.public,s3.us-east-1"	SRX15781412	USA	North America	USA: Utah	COVID-19	Homo sapiens	Illumina NovaSeq 6000	UT-UPHL-220611168178	patient isolate	UT-UPHL-220611168178	SINGLE	PCR	VIRAL RNA	Severe acute respiratory syndrome coronavirus 2	ILLUMINA	2022-06-17T00:00:00Z	UT-UPHL-220611168178	SRP253926
SRR19735221	AMPLICON	74	75781019	PRJNA614995	SAMN29178150	SARS-CoV-2: clinical or host-associated	24952918	UPHL_ID	Utah Public Health Laboratory	2022/5/27	public	"activ_sars2_vcf,sra"	"gs,ncbi,s3"	"gs.US,ncbi.public,s3.us-east-1"	SRX15781649	USA	North America	USA: Utah	COVID-19	Homo sapiens	Illumina NovaSeq 6000	UT-UPHL-220611295884	patient isolate	UT-UPHL-220611295884	SINGLE	PCR	VIRAL RNA	Severe acute respiratory syndrome coronavirus 2	ILLUMINA	2022-06-17T00:00:00Z	UT-UPHL-220611295884	SRP253926
SRR19735291	AMPLICON	74	183068641	PRJNA614995	SAMN29178146	SARS-CoV-2: clinical or host-associated	58748383	UPHL_ID	Utah Public Health Laboratory	2022/5/27	public	"activ_sars2_vcf,sra"	"gs,ncbi,s3"	"gs.US,ncbi.public,s3.us-east-1"	SRX15781579	USA	North America	USA: Utah	COVID-19	Homo sapiens	Illumina NovaSeq 6000	UT-UPHL-220611495419	patient isolate	UT-UPHL-220611495419	SINGLE	PCR	VIRAL RNA	Severe acute respiratory syndrome coronavirus 2	ILLUMINA	2022-06-17T00:00:00Z	UT-UPHL-220611495419	SRP253926
SRR19735298	AMPLICON	74	133623569	PRJNA614995	SAMN29178139	SARS-CoV-2: clinical or host-associated	48771095	UPHL_ID	Utah Public Health Laboratory	2022/5/27	public	"activ_sars2_vcf,sra"	"gs,ncbi,s3"	"gs.US,ncbi.public,s3.us-east-1"	SRX15781572	USA	North America	USA: Utah	COVID-19	Homo sapiens	Illumina NovaSeq 6000	UT-UPHL-220611497726	patient isolate	UT-UPHL-220611497726	SINGLE	PCR	VIRAL RNA	Severe acute respiratory syndrome coronavirus 2	ILLUMINA	2022-06-17T00:00:00Z	UT-UPHL-220611497726	SRP253926
SRR19735524	AMPLICON	74	386317557	PRJNA614995	SAMN29178618	SARS-CoV-2: clinical or host-associated	123679471	UPHL_ID	Utah Public Health Laboratory	2022/5/20	public	"activ_sars2_vcf,sra"	"gs,ncbi,s3"	"gs.US,ncbi.public,s3.us-east-1"	SRX15782076	USA	North America	USA: Utah	COVID-19	Homo sapiens	Illumina NovaSeq 6000	UT-UPHL-220530552081	patient isolate	UT-UPHL-220530552081	SINGLE	PCR	VIRAL RNA	Severe acute respiratory syndrome coronavirus 2	ILLUMINA	2022-06-17T00:00:00Z	UT-UPHL-220530552081	SRP253926
SRR19735525	AMPLICON	74	269863703	PRJNA614995	SAMN29178617	SARS-CoV-2: clinical or host-associated	89082384	UPHL_ID	Utah Public Health Laboratory	2022/5/8	public	"activ_sars2_vcf,sra"	"gs,ncbi,s3"	"gs.US,ncbi.public,s3.us-east-1"	SRX15782075	USA	North America	USA: Utah	COVID-19	Homo sapiens	Illumina NovaSeq 6000	UT-UPHL-220530103124	patient isolate	UT-UPHL-220530103124	SINGLE	PCR	VIRAL RNA	Severe acute respiratory syndrome coronavirus 2	ILLUMINA	2022-06-17T00:00:00Z	UT-UPHL-220530103124	SRP253926
SRR19735528	AMPLICON	74	77756136	PRJNA614995	SAMN29178614	SARS-CoV-2: clinical or host-associated	28593080	UPHL_ID	Utah Public Health Laboratory	2022/5/16	public	"activ_sars2_vcf,sra"	"gs,ncbi,s3"	"gs.US,ncbi.public,s3.us-east-1"	SRX15782072	USA	North America	USA: Utah	COVID-19	Homo sapiens	Illumina NovaSeq 6000	UT-UPHL-220530887392	patient isolate	UT-UPHL-220530887392	SINGLE	PCR	VIRAL RNA	Severe acute respiratory syndrome coronavirus 2	ILLUMINA	2022-06-17T00:00:00Z	UT-UPHL-220530887392	SRP253926
