count	sgRNA ratio(%)	j5	j3	JS
2795	1.0289000000000001	6499	23121	6499 - 23121
2274	0.8370999999999998	9198	22995	9198 - 22995
1805	0.6644	14668	23914	14668 - 23914
1403	0.5164	3105	21641	3105 - 21641
777	0.286	24533	29032	24533 - 29032
742	0.2732	21308	23918	21308 - 23918
723	0.2661	72	28883	72 - 28883
642	0.2364	10411	28426	10411 - 28426
612	0.2253	17631	22783	17631 - 22783
551	0.2028	339	26883	339 - 26883
446	0.16419999999999998	27800	29171	27800 - 29171
415	0.1528	15789	26709	15789 - 26709
382	0.1407	16705	19480	16705 - 19480
367	0.1352	11318	12535	11318 - 12535
343	0.1262	12971	28883	12971 - 28883
342	0.1259	20789	28370	20789 - 28370
342	0.12589999999999998	19251	29826	19251 - 29826
329	0.12110000000000001	69	15776	69 - 15776
321	0.1181	6843	26635	6843 - 26635
296	0.10899999999999999	14284	23854	14284 - 23854
293	0.1079	2817	11288	2817 - 11288
290	0.1067	15907	18936	15907 - 18936
284	0.1045	11817	22997	11817 - 22997
228	0.0839	3090	11296	3090 - 11296
222	0.0818	2500	5307	2500 - 5307
218	0.08020000000000001	16199	28369	16199 - 28369
210	0.07730000000000001	3700	23118	3700 - 23118
202	0.07440000000000001	71	23854	71 - 23854
189	0.06969999999999998	16833	29171	16833 - 29171
178	0.0655	16833	29007	16833 - 29007
172	0.0633	16833	29102	16833 - 29102
166	0.0612	16833	28391	16833 - 28391
161	0.0593	5930	11287	5930 - 11287
161	0.059300000000000005	16833	23555	16833 - 23555
153	0.0563	16833	29167	16833 - 29167
147	0.054099999999999995	24523	28081	24523 - 28081
146	0.053700000000000005	10992	22995	10992 - 22995
145	0.0533	26036	29516	26036 - 29516
144	0.053	16833	27042	16833 - 27042
141	0.051800000000000006	16833	29057	16833 - 29057
140	0.0515	16833	28838	16833 - 28838
134	0.0494	16833	29061	16833 - 29061
133	0.049	16833	23589	16833 - 23589
128	0.0471	16833	22269	16833 - 22269
127	0.046799999999999994	2504	11897	2504 - 11897
125	0.0461	16833	29189	16833 - 29189
124	0.0457	2504	29171	2504 - 29171
123	0.04529999999999999	2504	12049	2504 - 12049
123	0.04530000000000001	16833	26916	16833 - 26916
122	0.045000000000000005	2504	11868	2504 - 11868
