Accession,SRA_Accession,Pangolin,PangoVersions,Random_Sampling,Isolate,Length,Geo_Location,Isolation_Source,Collection_Date
OL522020.1,SRR16912726,B.1.1.7,4.1.1/1.11/v0.1.10/0.3.17,true,FL-CDC-STM-000609839,29854,USA: Florida,oronasopharynx,2021-06-26
OL522009.1,SRR16912717,B.1.1.7,4.1.1/1.11/v0.1.10/0.3.17,true,FL-CDC-STM-000609852,29852,USA: Florida,oronasopharynx,2021-06-26
OL522017.1,SRR16912715,B.1.1.7,4.1.1/1.11/v0.1.10/0.3.17,true,FL-CDC-STM-000609854,29879,USA: Florida,oronasopharynx,2021-06-26
OL522025.1,SRR16912713,B.1.1.7,4.1.1/1.11/v0.1.10/0.3.17,true,FL-CDC-STM-000609856,29884,USA: Florida,oronasopharynx,2021-06-26
OL522018.1,SRR16912707,B.1.1.7,4.1.1/1.11/v0.1.10/0.3.17,true,FL-CDC-STM-000609870,29884,USA: Florida,oronasopharynx,2021-06-26
OL522026.1,SRR16912705,B.1.1.7,4.1.1/1.11/v0.1.10/0.3.17,true,AZ-CDC-STM-000609872,29884,USA: Arizona,oronasopharynx,2021-06-27
OL522006.1,SRR16912702,B.1.1.7,4.1.1/1.11/v0.1.10/0.3.17,true,FL-CDC-STM-000609875,29884,USA: Florida,oronasopharynx,2021-06-26
OL522559.1,SRR16912686,B.1.1.7,4.1.1/1.11/v0.1.10/0.3.17,true,TX-CDC-STM-000704473,29884,USA: Texas,oronasopharynx,2021-06-23
OL522579.1,SRR16912676,B.1.1.7,4.1.1/1.11/v0.1.10/0.3.17,true,FL-CDC-STM-000704483,29884,USA: Florida,oronasopharynx,2021-06-23
OL522602.1,SRR16912674,B.1.1.7,4.1.1/1.11/v0.1.10/0.3.17,true,FL-CDC-STM-000704485,29884,USA: Florida,oronasopharynx,2021-06-22
OL522561.1,SRR16912671,B.1.1.7,4.1.1/1.11/v0.1.10/0.3.17,true,FL-CDC-STM-000704489,29871,USA: Florida,oronasopharynx,2021-06-22
OL522614.1,SRR16912666,B.1.1.7,4.1.1/1.11/v0.1.10/0.3.17,true,FL-CDC-STM-000704494,29884,USA: Florida,oronasopharynx,2021-06-22
OL522624.1,SRR16912665,B.1.1.7,4.1.1/1.11/v0.1.10/0.3.17,true,FL-CDC-STM-000704495,29872,USA: Florida,oronasopharynx,2021-06-22
OL522094.1,SRR16912661,B.1.1.7,4.1.1/1.11/v0.1.10/0.3.17,true,NV-CDC-STM-000704871,29884,USA: Nevada,oronasopharynx,2021-06-25
OL522104.1,SRR16912660,B.1.1.7,4.1.1/1.11/v0.1.10/0.3.17,true,LA-CDC-STM-000704872,29881,USA: Louisiana,oronasopharynx,2021-06-26
OL522045.1,SRR16912658,B.1.1.7,4.1.1/1.11/v0.1.10/0.3.17,true,FL-CDC-STM-000704874,29884,USA: Florida,oronasopharynx,2021-06-25
OL522095.1,SRR16912654,B.1.1.7,4.1.1/1.11/v0.1.10/0.3.17,true,TX-CDC-STM-000704879,29871,USA: Texas,oronasopharynx,2021-06-25
OL522046.1,SRR16912651,B.1.1.7,4.1.1/1.11/v0.1.10/0.3.17,true,FL-CDC-STM-000704882,29873,USA: Florida,oronasopharynx,2021-06-25
OL522096.1,SRR16912647,B.1.1.7,4.1.1/1.11/v0.1.10/0.3.17,true,TX-CDC-STM-000704887,29884,USA: Texas,oronasopharynx,2021-06-25
OL522142.1,SRR16912630,B.1.1.7,4.1.1/1.11/v0.1.10/0.3.17,true,FL-CDC-STM-000704912,29884,USA: Florida,oronasopharynx,2021-06-28
OL522143.1,SRR16912622,B.1.1.7,4.1.1/1.11/v0.1.10/0.3.17,true,FL-CDC-STM-000704920,29884,USA: Florida,oronasopharynx,2021-06-28
OL522133.1,SRR16912607,B.1.1.7,4.1.1/1.11/v0.1.10/0.3.17,true,TX-CDC-STM-000704935,29871,USA: Texas,oronasopharynx,2021-06-28
OL522163.1,SRR16912605,B.1.1.7,4.1.1/1.11/v0.1.10/0.3.17,true,FL-CDC-STM-000704938,29853,USA: Florida,oronasopharynx,2021-06-28
OL522173.1,SRR16912604,B.1.1.7,4.1.1/1.11/v0.1.10/0.3.17,true,FL-CDC-STM-000704939,29884,USA: Florida,oronasopharynx,2021-06-28
OL522134.1,SRR16912600,B.1.1.7,4.1.1/1.11/v0.1.10/0.3.17,true,IL-CDC-STM-000704943,29884,USA: Illinois,oronasopharynx,2021-06-28
OL522662.1,SRR16912598,B.1.1.7,4.1.1/1.11/v0.1.10/0.3.17,true,FL-CDC-STM-000704504,29884,USA: Florida,oronasopharynx,2021-06-22
