j5	j3	count	startpos	productsize	JS	deletion size	chorm	type	name	start	end	evtype	evrelorf	evsize	startpos_byfusion
72	27761	323	27824	20	72 - 27761	27689						N-term trunc	ORF7b	23
69	2688	141	2744	3	69 - 2688	2619						frameshift,mid	ORF1a	3
68	4017	27	4043	19	68 - 4017	3949						frameshift,mid	ORF1a	19
71	2793	26	2801	22	71 - 2793	2722						frameshift,mid	ORF1a	22
70	5591	15	5591	21	70 - 5591	5521						frameshift,mid	ORF1a	21
69	2688	10	2744	3	69 - 2688	2619						frameshift,mid	ORF1a	3
2918	21843	540	106	9	2918 - 21843	18925						frameshift-fusion-orf	ORF1a-S	(884.3333333333334, 890)
10792	16323	280	106	9	10792 - 16323	5531						in-frame-fusion-orf	ORF1a-ORF1b	(3509.0, 1743.0)
17604	24743	266	106	9	17604 - 24743	7139						frameshift-fusion-orf	ORF1b-S	(1379.0, 1383)
11108	28458	186	106	9	11108 - 28458	17350						frameshift-fusion-orf	ORF1a-N	(3614.3333333333335, 3653)
10203	29479	126	106	9	10203 - 29479	19276						frameshift-fusion-orf	ORF1a-N	(3312.6666666666665, 3321)
1395	26076	125	106	9	1395 - 26076	24681						frameshift-fusion-orf	ORF1a-ORF3a	(376.6666666666667, 407)
19157	26903	104	106	9	19157 - 26903	7746						frameshift-fusion-orf	ORF1b-M	(1896.6666666666667, 1898)
9625	29456	94	106	9	9625 - 29456	19831						frameshift-fusion-orf	ORF1a-N	(3120.0, 3136)
7201	29474	84	106	9	7201 - 29474	22273						frameshift-fusion-orf	ORF1a-N	(2312.0, 2322)
4709	29430	82	106	9	4709 - 29430	24721						frameshift-fusion-orf	ORF1a-N	(1481.3333333333333, 1487)
9502	20639	57	106	9	9502 - 20639	11137						frameshift-fusion-orf	ORF1a-ORF1b	(3079.0, 3086)
1304	25667	44	106	9	1304 - 25667	24363						frameshift-fusion-orf	ORF1a-ORF3a	(346.3333333333333, 365)
5370	20055	42	106	9	5370 - 20055	14685						frameshift-fusion-orf	ORF1a-ORF1b	(1701.6666666666667, 1711)
18417	26819	36	106	9	18417 - 26819	8402						in-frame-fusion-orf	ORF1b-M	(1650.0, 124.0)
5370	20055	35	106	9	5370 - 20055	14685						frameshift-fusion-orf	ORF1a-ORF1b	(1701.6666666666667, 1711)
10528	22229	29	106	9	10528 - 22229	11701						frameshift-fusion-orf	ORF1a-S	(3421.0, 3421)
19853	25205	27	106	9	19853 - 25205	5352						frameshift-fusion-orf	ORF1b-S	(2128.6666666666665, 2155)
4984	28318	24	106	9	4984 - 28318	23334						in-frame-fusion-orf	ORF1a-N	(1573.0, 405.0)
7273	18367	23	106	9	7273 - 18367	11094						frameshift-fusion-orf	ORF1a-ORF1b	(2336.0, 2343)
10617	21294	22	106	9	10617 - 21294	10677						frameshift-fusion-orf	ORF1a-ORF1b	(3450.6666666666665, 3457)
16442	22186	15	106	9	16442 - 22186	5744						frameshift-fusion-orf	ORF1b-S	(991.6666666666666, 995)
3056	13620	14	106	9	3056 - 13620	10564						frameshift-fusion-orf	ORF1a-ORF1b	(930.3333333333334, 932)
3056	13620	13	106	9	3056 - 13620	10564						frameshift-fusion-orf	ORF1a-ORF1b	(930.3333333333334, 932)
4138	9801	12	106	9	4138 - 9801	5663						frameshift-fusion-orf	ORF1a-ORF1a	(1291.0, 1298)
7228	29334	11	106	9	7228 - 29334	22106						frameshift-fusion-orf	ORF1a-N	(2321.0, 2321)
5370	20055	11	106	9	5370 - 20055	14685						frameshift-fusion-orf	ORF1a-ORF1b	(1701.6666666666667, 1711)
17503	28551	11	106	9	17503 - 28551	11048						frameshift-fusion-orf	ORF1b-N	(1345.3333333333333, 1353)
18351	26818	10	106	9	18351 - 26818	8467						frameshift-fusion-orf	ORF1b-M	(1628.0, 1645)
23222	28556	10	106	9	23222 - 28556	5334						in-frame-fusion-orf	S-N	(553.3333333333334, 325.6666666666667)
8770	18598	10	106	9	8770 - 18598	9828						frameshift-fusion-orf	ORF1a-ORF1b	(2835.0, 2840)
15661	19447	403	106	9	15661 - 19447	3786						in-frame-fusion-orf	ORF1b-ORF1b	(731.3333333333334, 701.6666666666666)
14408	17995	213	106	9	14408 - 17995	3587						frameshift-fusion-orf	ORF1b-ORF1b	(313.6666666666667, 317)
14408	17995	194	106	9	14408 - 17995	3587						frameshift-fusion-orf	ORF1b-ORF1b	(313.6666666666667, 317)
12150	14032	178	106	9	12150 - 14032	1882						frameshift-fusion-orf	ORF1a-ORF1b	(3961.6666666666665, 3972)
14408	17995	148	106	9	14408 - 17995	3587						frameshift-fusion-orf	ORF1b-ORF1b	(313.6666666666667, 317)
20087	22430	128	106	9	20087 - 22430	2343						frameshift-fusion-orf	ORF1b-S	(2206.6666666666665, 2210)
5700	8770	98	106	9	5700 - 8770	3070						frameshift-fusion-orf	ORF1a-ORF1a	(1811.6666666666667, 1829)
16256	17656	94	106	9	16256 - 17656	1400						frameshift-fusion-orf	ORF1b-ORF1b	(929.6666666666666, 932)
19970	21252	76	106	9	19970 - 21252	1282						frameshift-fusion-orf	ORF1b-ORF1b	(2167.6666666666665, 2175)
27800	29171	76	106	9	27800 - 29171	1371						frameshift-fusion-orf	ORF7b-N	(15.0, 46)
17101	19812	65	106	9	17101 - 19812	2711						frameshift-fusion-orf	ORF1b-ORF1b	(1211.3333333333333, 1220)
28130	29493	64	106	9	28130 - 29493	1363						frameshift-fusion-orf	ORF8-N	(79.0, 86)
