count	sgRNA ratio(%)	j5	j3	JS
173808	16.272799999999997	15636	28282	15636 - 28282
168929	15.815999999999999	74	15617	74 - 15617
11804	1.1049000000000004	21095	28282	21095 - 28282
8953	0.8383999999999996	241	23286	241 - 23286
7115	0.6655999999999999	75	21077	75 - 21077
6565	0.6146999999999999	69	28282	69 - 28282
5159	0.48299999999999993	12162	25296	12162 - 25296
4122	0.38620000000000004	15125	28282	15125 - 28282
3138	0.2938	11384	18456	11384 - 18456
2777	0.26	19851	21993	19851 - 21993
2434	0.22790000000000002	3814	28282	3814 - 28282
2392	0.224	8800	23058	8800 - 23058
2326	0.21759999999999993	72	28883	72 - 28883
1594	0.1492	7332	20860	7332 - 20860
1306	0.1221	2504	28269	2504 - 28269
1168	0.10939999999999997	69	15776	69 - 15776
1154	0.10819999999999999	3090	11296	3090 - 11296
1129	0.10590000000000004	16833	29535	16833 - 29535
1115	0.10439999999999999	16833	29545	16833 - 29545
1015	0.09489999999999998	7984	28867	7984 - 28867
1001	0.09369999999999999	3945	28883	3945 - 28883
997	0.0929	2817	11288	2817 - 11288
988	0.0925	3971	26549	3971 - 26549
923	0.0861	9839	28282	9839 - 28282
893	0.08339999999999997	27800	29171	27800 - 29171
841	0.07870000000000002	3264	9143	3264 - 9143
831	0.07759999999999999	14284	29535	14284 - 29535
825	0.0772	4271	8589	4271 - 8589
820	0.0767	16833	29171	16833 - 29171
817	0.07669999999999999	12971	28883	12971 - 28883
810	0.0758	3096	15055	3096 - 15055
803	0.07499999999999998	16833	29489	16833 - 29489
790	0.0741	2504	29535	2504 - 29535
786	0.07390000000000002	16833	18799	16833 - 18799
733	0.0687	21600	28282	21600 - 28282
723	0.06750000000000002	5930	11287	5930 - 11287
720	0.06739999999999997	24313	28282	24313 - 28282
715	0.06659999999999999	2504	29274	2504 - 29274
709	0.06640000000000001	16833	29572	16833 - 29572
699	0.0652	16833	29548	16833 - 29548
634	0.0594	15720	16853	15720 - 16853
616	0.0575	13676	28282	13676 - 28282
611	0.056999999999999995	16833	29353	16833 - 29353
608	0.056999999999999995	16833	29272	16833 - 29272
604	0.0563	8577	11286	8577 - 11286
592	0.0554	23396	28256	23396 - 28256
580	0.05430000000000001	16833	18788	16833 - 18788
575	0.0538	2504	29272	2504 - 29272
569	0.0532	16833	29592	16833 - 29592
564	0.05270000000000001	14284	29572	14284 - 29572
