count	sgRNA ratio(%)	j5	j3	JS
3954	0.8047	9198	22995	9198 - 22995
2795	0.5688	6499	23121	6499 - 23121
2631	0.5353	3105	21641	3105 - 21641
1805	0.36719999999999997	14668	23914	14668 - 23914
1273	0.259	14408	17995	14408 - 17995
1252	0.25489999999999996	72	28883	72 - 28883
777	0.15809999999999996	15789	26709	15789 - 26709
777	0.158	24533	29032	24533 - 29032
742	0.1509	21308	23918	21308 - 23918
642	0.1306	10411	28426	10411 - 28426
626	0.12760000000000002	14284	23854	14284 - 23854
612	0.1245	17631	22783	17631 - 22783
608	0.1238	27800	29171	27800 - 29171
571	0.11630000000000001	12971	28883	12971 - 28883
570	0.1159	69	15776	69 - 15776
551	0.1121	339	26883	339 - 26883
540	0.1099	2918	21843	2918 - 21843
495	0.1007	16199	28369	16199 - 28369
461	0.09409999999999999	2817	11288	2817 - 11288
459	0.09319999999999999	11817	22997	11817 - 22997
413	0.08410000000000001	3090	11296	3090 - 11296
403	0.082	15661	19447	15661 - 19447
382	0.07769999999999999	16705	19480	16705 - 19480
374	0.07599999999999998	72	27761	72 - 27761
367	0.0746	11318	12535	11318 - 12535
364	0.074	71	23854	71 - 23854
342	0.0696	19251	29826	19251 - 29826
342	0.0696	20789	28370	20789 - 28370
333	0.0677	16833	28391	16833 - 28391
321	0.0653	6843	26635	6843 - 26635
304	0.06180000000000001	16833	29171	16833 - 29171
300	0.0608	5930	11287	5930 - 11287
291	0.059199999999999996	16833	29057	16833 - 29057
290	0.059	15907	18936	15907 - 18936
288	0.058399999999999994	16833	28388	16833 - 28388
286	0.0582	16833	29167	16833 - 29167
280	0.057	10792	16323	10792 - 16323
267	0.054299999999999994	14321	26060	14321 - 26060
266	0.0541	17604	24743	17604 - 24743
255	0.051800000000000006	16833	29007	16833 - 29007
248	0.0503	2504	29171	2504 - 29171
231	0.046799999999999994	5284	22995	5284 - 22995
229	0.0465	16833	22269	16833 - 22269
226	0.04599999999999999	16833	29102	16833 - 29102
222	0.04530000000000001	2500	5307	2500 - 5307
216	0.0441	16833	29189	16833 - 29189
211	0.0429	16833	23555	16833 - 23555
210	0.042699999999999995	3700	23118	3700 - 23118
209	0.0425	16833	28132	16833 - 28132
208	0.042199999999999994	16833	29061	16833 - 29061
