count	sgRNA ratio(%)	j5	j3	JS
22611	8.7269	10680	14581	10680 - 14581
15844	6.115299999999999	10683	21427	10683 - 21427
14316	5.525299999999997	1883	4648	1883 - 4648
7785	3.0045999999999995	19864	25325	19864 - 25325
4577	1.7667999999999988	8612	25680	8612 - 25680
3443	1.3286999999999995	10682	26723	10682 - 26723
1908	0.7362000000000001	4065	21427	4065 - 21427
1811	0.6989999999999998	10677	14578	10677 - 14578
1723	0.6649000000000002	24093	26721	24093 - 26721
1692	0.6530000000000002	13935	15263	13935 - 15263
1606	0.6194000000000001	3478	22347	3478 - 22347
1340	0.5171	10682	14562	10682 - 14562
1302	0.5024	6188	8953	6188 - 8953
1231	0.4751	5249	23191	5249 - 23191
1161	0.4480000000000001	9221	15539	9221 - 15539
961	0.371	3474	24233	3474 - 24233
776	0.2995	340	1942	340 - 1942
663	0.2559	8613	26721	8613 - 26721
657	0.25349999999999995	1471	7092	1471 - 7092
645	0.2487999999999999	1257	29095	1257 - 29095
612	0.23609999999999998	8909	24748	8909 - 24748
572	0.22079999999999997	4961	21716	4961 - 21716
471	0.1817	11327	21429	11327 - 21429
442	0.17049999999999996	14892	20867	14892 - 20867
405	0.15629999999999997	17087	24149	17087 - 24149
379	0.1461	8998	10668	8998 - 10668
365	0.14099999999999996	24094	25318	24094 - 25318
351	0.1353	7333	10055	7333 - 10055
349	0.13489999999999996	7324	10046	7324 - 10046
345	0.13309999999999997	3787	10038	3787 - 10038
318	0.12259999999999999	5641	17936	5641 - 17936
317	0.12239999999999998	11325	21427	11325 - 21427
285	0.1099	14891	23192	14891 - 23192
278	0.1072	68	25799	68 - 25799
276	0.1064	11131	13074	11131 - 13074
260	0.1003	7055	26890	7055 - 26890
250	0.09639999999999999	14564	25317	14564 - 25317
245	0.09469999999999998	8912	20050	8912 - 20050
223	0.0861	3160	12666	3160 - 12666
221	0.0852	10097	20868	10097 - 20868
211	0.0814	75	12973	75 - 12973
211	0.08149999999999999	8616	10537	8616 - 10537
200	0.07730000000000001	10689	14572	10689 - 14572
196	0.0756	17988	23820	17988 - 23820
195	0.0753	3791	14706	3791 - 14706
188	0.0725	3792	20805	3792 - 20805
186	0.0718	48	17897	48 - 17897
184	0.071	5280	27923	5280 - 27923
181	0.0699	6197	8962	6197 - 8962
172	0.0664	1369	29324	1369 - 29324
