j5	j3	count	startpos	productsize	JS	deletion size	chorm	type	name	start	end	evtype	evrelorf	evsize	startpos_byfusion
69	15776	114	15811	28	69 - 15776	15707						"frameshift,mid"	ORF1b	28	
72	28883	104	28900	210	72 - 28883	28811						N-term trunc	N	209	
72	28883	102	28900	210	72 - 28883	28811						N-term trunc	N	209	
72	28883	61	28900	210	72 - 28883	28811						N-term trunc	N	209	
72	28883	57	28900	210	72 - 28883	28811						N-term trunc	N	209	
71	23854	48	24050	39	71 - 23854	23783						"frameshift,mid"	S	39	
72	28883	47	28900	210	72 - 28883	28811						N-term trunc	N	209	
72	28883	46	28900	210	72 - 28883	28811						N-term trunc	N	209	
71	23854	46	24050	39	71 - 23854	23783						"frameshift,mid"	S	39	
69	15776	39	15811	28	69 - 15776	15707						"frameshift,mid"	ORF1b	28	
68	24776	33	24809	21	68 - 24776	24708						"frameshift,mid"	S	21	
71	21305	31	21316	27	71 - 21305	21234						"frameshift,mid"	ORF1b	27	
75	21057	29	21070	23	75 - 21057	20982						"frameshift,mid"	ORF1b	23	
72	28883	29	28900	210	72 - 28883	28811						N-term trunc	N	209	
71	23854	27	24050	39	71 - 23854	23783						"frameshift,mid"	S	39	
69	15776	27	15811	28	69 - 15776	15707						"frameshift,mid"	ORF1b	28	
74	23027	27	23045	15	74 - 23027	22953						"frameshift,mid"	S	15	
68	22404	26	22406	7	68 - 22404	22336						"frameshift,mid"	S	7	
69	15776	25	15811	28	69 - 15776	15707						"frameshift,mid"	ORF1b	28	
68	24776	24	24809	21	68 - 24776	24708						"frameshift,mid"	S	21	
72	28883	21	28900	210	72 - 28883	28811						N-term trunc	N	209	
70	24890	21	24890	19	70 - 24890	24820						"frameshift,mid"	S	19	
72	28883	21	28900	210	72 - 28883	28811						N-term trunc	N	209	
75	21057	20	21070	23	75 - 21057	20982						"frameshift,mid"	ORF1b	23	
70	19570	20	19630	6	70 - 19570	19500						"frameshift,mid"	ORF1b	6	
70	3815	19	3841	3213	70 - 3815	3745						N-term trunc	ORF1a	1192	
72	28883	18	28900	210	72 - 28883	28811						N-term trunc	N	209	
71	21305	18	21316	27	71 - 21305	21234						"frameshift,mid"	ORF1b	27	
71	20315	18	20329	8	71 - 20315	20244						"frameshift,mid"	ORF1b	8	
75	12973	18	12985	165	75 - 12973	12898						N-term trunc	ORF1a	4240	
71	22276	18	22358	11	71 - 22276	22205						"frameshift,mid"	S	11	
71	22501	17	22613	36	71 - 22501	22430						"frameshift,mid"	S	36	
75	6146	16	6155	64	75 - 6146	6071						"frameshift,mid"	ORF1a	64	
71	20315	16	20329	8	71 - 20315	20244						"frameshift,mid"	ORF1b	8	
69	5788	16	5858	12	69 - 5788	5719						"frameshift,mid"	ORF1a	12	
69	15776	16	15811	28	69 - 15776	15707						"frameshift,mid"	ORF1b	28	
68	22404	16	22406	7	68 - 22404	22336						"frameshift,mid"	S	7	
68	22404	16	22406	7	68 - 22404	22336						"frameshift,mid"	S	7	
71	23854	16	24050	39	71 - 23854	23783						"frameshift,mid"	S	39	
71	27760	16	27824	20	71 - 27760	27689						N-term trunc	ORF7b	23	
70	9712	15	9767	17	70 - 9712	9642						"frameshift,mid"	ORF1a	17	
68	24776	15	24809	21	68 - 24776	24708						"frameshift,mid"	S	21	
75	21057	14	21070	23	75 - 21057	20982						"frameshift,mid"	ORF1b	23	
76	20018	13	20026	19	76 - 20018	19942						"frameshift,mid"	ORF1b	19	
71	23854	13	24050	39	71 - 23854	23783						"frameshift,mid"	S	39	
68	22404	13	22406	7	68 - 22404	22336						"frameshift,mid"	S	7	
75	21057	12	21070	23	75 - 21057	20982						"frameshift,mid"	ORF1b	23	
70	13618	12	13624	3	70 - 13618	13548						"frameshift,mid"	ORF1b	3	
71	23854	12	24050	39	71 - 23854	23783						"frameshift,mid"	S	39	
71	2793	12	2801	22	71 - 2793	2722						"frameshift,mid"	ORF1a	22	
64	5784	12	5858	12	64 - 5784	5720						"frameshift,mid"	ORF1a	12	
43	14854	12	14890	14	43 - 14854	14811						"frameshift,mid"	ORF1b	14	
72	28883	12	28900	210	72 - 28883	28811						N-term trunc	N	209	
76	2359	11	2455	3675	76 - 2359	2283						N-term trunc	ORF1a	730	
72	27761	11	27824	20	72 - 27761	27689						N-term trunc	ORF7b	23	
68	22403	11	22406	7	68 - 22403	22335						"frameshift,mid"	S	7	
71	21305	11	21316	27	71 - 21305	21234						"frameshift,mid"	ORF1b	27	
75	28891	11	28900	210	75 - 28891	28816						N-term trunc	N	209	
75	21057	11	21070	23	75 - 21057	20982						"frameshift,mid"	ORF1b	23	
70	10639	11	10661	2	70 - 10639	10569						"frameshift,mid"	ORF1a	2	
69	5788	11	5858	12	69 - 5788	5719						"frameshift,mid"	ORF1a	12	
72	27259	11	27358	12	72 - 27259	27187						"frameshift,mid"	ORF6	12	
72	28883	11	28900	210	72 - 28883	28811						N-term trunc	N	209	
68	6109	10	6155	64	68 - 6109	6041						"frameshift,mid"	ORF1a	64	
75	21057	10	21070	23	75 - 21057	20982						"frameshift,mid"	ORF1b	23	
71	21305	10	21316	27	71 - 21305	21234						"frameshift,mid"	ORF1b	27	
71	14371	10	14380	15	71 - 14371	14300						"frameshift,mid"	ORF1b	15	
69	8749	10	8756	22	69 - 8749	8680						"frameshift,mid"	ORF1a	22	
68	22277	10	22358	11	68 - 22277	22209						"frameshift,mid"	S	11	
71	21305	10	21316	27	71 - 21305	21234						"frameshift,mid"	ORF1b	27	
69	15776	10	15811	28	69 - 15776	15707						"frameshift,mid"	ORF1b	28	
75	15810	10	15811	28	75 - 15810	15735						"frameshift,mid"	ORF1b	28	
71	20315	10	20329	8	71 - 20315	20244						"frameshift,mid"	ORF1b	8	
70	9753	10	9767	17	70 - 9753	9683						"frameshift,mid"	ORF1a	17	
70	19570	10	19630	6	70 - 19570	19500						"frameshift,mid"	ORF1b	6	
69	15776	10	15811	28	69 - 15776	15707						"frameshift,mid"	ORF1b	28	
9198	22995	247	106	9	9198 - 22995	13797						in-frame-fusion-orf	ORF1a-S	"(2977.6666666666665, 796.3333333333334)"	
9198	22995	217	106	9	9198 - 22995	13797						in-frame-fusion-orf	ORF1a-S	"(2977.6666666666665, 796.3333333333334)"	
9198	22995	213	106	9	9198 - 22995	13797						in-frame-fusion-orf	ORF1a-S	"(2977.6666666666665, 796.3333333333334)"	
3105	21641	156	106	9	3105 - 21641	18536						frameshift-fusion-orf	ORF1a-S	"(946.6666666666666, 949)"	
9198	22995	151	106	9	9198 - 22995	13797						in-frame-fusion-orf	ORF1a-S	"(2977.6666666666665, 796.3333333333334)"	
3105	21641	147	106	9	3105 - 21641	18536						frameshift-fusion-orf	ORF1a-S	"(946.6666666666666, 949)"	
3105	21641	130	106	9	3105 - 21641	18536						frameshift-fusion-orf	ORF1a-S	"(946.6666666666666, 949)"	
3105	21641	128	106	9	3105 - 21641	18536						frameshift-fusion-orf	ORF1a-S	"(946.6666666666666, 949)"	
3105	21641	117	106	9	3105 - 21641	18536						frameshift-fusion-orf	ORF1a-S	"(946.6666666666666, 949)"	
9198	22995	117	106	9	9198 - 22995	13797						in-frame-fusion-orf	ORF1a-S	"(2977.6666666666665, 796.3333333333334)"	
9198	22995	114	106	9	9198 - 22995	13797						in-frame-fusion-orf	ORF1a-S	"(2977.6666666666665, 796.3333333333334)"	
3105	21641	109	106	9	3105 - 21641	18536						frameshift-fusion-orf	ORF1a-S	"(946.6666666666666, 949)"	
9198	22995	108	106	9	9198 - 22995	13797						in-frame-fusion-orf	ORF1a-S	"(2977.6666666666665, 796.3333333333334)"	
14284	23854	106	106	9	14284 - 23854	9570						frameshift-fusion-orf	ORF1b-S	"(272.3333333333333, 280)"	
3105	21641	92	106	9	3105 - 21641	18536						frameshift-fusion-orf	ORF1a-S	"(946.6666666666666, 949)"	
9198	22995	86	106	9	9198 - 22995	13797						in-frame-fusion-orf	ORF1a-S	"(2977.6666666666665, 796.3333333333334)"	
9198	22995	79	106	9	9198 - 22995	13797						in-frame-fusion-orf	ORF1a-S	"(2977.6666666666665, 796.3333333333334)"	
15789	26709	77	106	9	15789 - 26709	10920						frameshift-fusion-orf	ORF1b-M	"(774.0, 784)"	
16833	28388	77	106	9	16833 - 28388	11555						frameshift-fusion-orf	ORF1b-N	"(1122.0, 1184)"	
9198	22995	74	106	9	9198 - 22995	13797						in-frame-fusion-orf	ORF1a-S	"(2977.6666666666665, 796.3333333333334)"	
3105	21641	73	106	9	3105 - 21641	18536						frameshift-fusion-orf	ORF1a-S	"(946.6666666666666, 949)"	
15789	26709	73	106	9	15789 - 26709	10920						frameshift-fusion-orf	ORF1b-M	"(774.0, 784)"	
9198	22995	73	106	9	9198 - 22995	13797						in-frame-fusion-orf	ORF1a-S	"(2977.6666666666665, 796.3333333333334)"	
2817	11288	73	106	9	2817 - 11288	8471						frameshift-fusion-orf	ORF1a-ORF1a	"(850.6666666666666, 853)"	
3105	21641	70	106	9	3105 - 21641	18536						frameshift-fusion-orf	ORF1a-S	"(946.6666666666666, 949)"	
15789	26709	66	106	9	15789 - 26709	10920						frameshift-fusion-orf	ORF1b-M	"(774.0, 784)"	
16199	28369	66	106	9	16199 - 28369	12170						frameshift-fusion-orf	ORF1b-N	"(910.6666666666666, 979)"	
9198	22995	65	106	9	9198 - 22995	13797						in-frame-fusion-orf	ORF1a-S	"(2977.6666666666665, 796.3333333333334)"	
16199	28369	63	106	9	16199 - 28369	12170						frameshift-fusion-orf	ORF1b-N	"(910.6666666666666, 979)"	
3475	28938	63	106	9	3475 - 28938	25463						frameshift-fusion-orf	ORF1a-N	"(1070.0, 1072)"	
3944	12108	61	106	9	3944 - 12108	8164						frameshift-fusion-orf	ORF1a-ORF1a	"(1226.3333333333333, 1258)"	
3090	11296	60	106	9	3090 - 11296	8206						frameshift-fusion-orf	ORF1a-ORF1a	"(941.6666666666666, 943)"	
12971	28883	60	106	9	12971 - 28883	15912						in-frame-fusion-orf	ORF1a-N	"(4235.333333333333, 216.66666666666666)"	
14284	23854	56	106	9	14284 - 23854	9570						frameshift-fusion-orf	ORF1b-S	"(272.3333333333333, 280)"	
17914	28883	56	106	9	17914 - 28883	10969						in-frame-fusion-orf	ORF1b-N	"(1482.3333333333333, 216.66666666666666)"	
16199	28369	56	106	9	16199 - 28369	12170						frameshift-fusion-orf	ORF1b-N	"(910.6666666666666, 979)"	
16199	28369	53	106	9	16199 - 28369	12170						frameshift-fusion-orf	ORF1b-N	"(910.6666666666666, 979)"	
4320	11094	52	106	9	4320 - 11094	6774						in-frame-fusion-orf	ORF1a-ORF1a	"(1351.6666666666667, 791.0)"	
7761	28370	50	106	9	7761 - 28370	20609						frameshift-fusion-orf	ORF1a-N	"(2498.6666666666665, 2513)"	
12806	24605	50	106	9	12806 - 24605	11799						in-frame-fusion-orf	ORF1a-S	"(4180.333333333333, 259.6666666666667)"	
12971	28883	50	106	9	12971 - 28883	15912						in-frame-fusion-orf	ORF1a-N	"(4235.333333333333, 216.66666666666666)"	
3365	23854	50	106	9	3365 - 23854	20489						frameshift-fusion-orf	ORF1a-S	"(1033.3333333333333, 1041)"	
16833	28391	49	106	9	16833 - 28391	11558						frameshift-fusion-orf	ORF1b-N	"(1122.0, 1183)"	
17498	28369	49	106	9	17498 - 28369	10871						frameshift-fusion-orf	ORF1b-N	"(1343.6666666666667, 1343)"	
22031	29236	49	106	9	22031 - 29236	7205						frameshift-fusion-orf	S-N	"(156.33333333333334, 175)"	
4963	25099	48	106	9	4963 - 25099	20136						in-frame-fusion-orf	ORF1a-S	"(1566.0, 95.0)"	
17766	28715	48	106	9	17766 - 28715	10949						frameshift-fusion-orf	ORF1b-N	"(1433.0, 1512)"	
3945	28883	48	106	9	3945 - 28883	24938						frameshift-fusion-orf	ORF1a-N	"(1226.6666666666667, 1231)"	
2504	28448	48	106	9	2504 - 28448	25944						in-frame-fusion-orf	ORF1a-N	"(746.3333333333334, 361.6666666666667)"	
3105	21641	47	106	9	3105 - 21641	18536						frameshift-fusion-orf	ORF1a-S	"(946.6666666666666, 949)"	
2504	29144	47	106	9	2504 - 29144	26640						in-frame-fusion-orf	ORF1a-N	"(746.3333333333334, 129.66666666666666)"	
3105	21641	46	106	9	3105 - 21641	18536						frameshift-fusion-orf	ORF1a-S	"(946.6666666666666, 949)"	
4865	17449	46	106	9	4865 - 17449	12584						in-frame-fusion-orf	ORF1a-ORF1b	"(1533.3333333333333, 1367.6666666666667)"	
9198	22995	45	106	9	9198 - 22995	13797						in-frame-fusion-orf	ORF1a-S	"(2977.6666666666665, 796.3333333333334)"	
13627	27431	45	106	9	13627 - 27431	13804						frameshift-fusion-orf	ORF1b-ORF7a	"(53.333333333333336, 71)"	
7761	28370	45	106	9	7761 - 28370	20609						frameshift-fusion-orf	ORF1a-N	"(2498.6666666666665, 2513)"	
2504	29178	44	106	9	2504 - 29178	26674						frameshift-fusion-orf	ORF1a-N	"(746.3333333333334, 775)"	
3075	11914	44	106	9	3075 - 11914	8839						frameshift-fusion-orf	ORF1a-ORF1a	"(936.6666666666666, 953)"	
3070	16260	44	106	9	3070 - 16260	13190						in-frame-fusion-orf	ORF1a-ORF1b	"(935.0, 1764.0)"	
2503	28883	44	106	9	2503 - 28883	26380						frameshift-fusion-orf	ORF1a-N	"(746.0, 769)"	
3945	28883	44	106	9	3945 - 28883	24938						frameshift-fusion-orf	ORF1a-N	"(1226.6666666666667, 1231)"	
16833	28391	43	106	9	16833 - 28391	11558						frameshift-fusion-orf	ORF1b-N	"(1122.0, 1183)"	
2817	11288	43	106	9	2817 - 11288	8471						frameshift-fusion-orf	ORF1a-ORF1a	"(850.6666666666666, 853)"	
5620	29060	43	106	9	5620 - 29060	23440						frameshift-fusion-orf	ORF1a-N	"(1785.0, 1792)"	
3105	21641	42	106	9	3105 - 21641	18536						frameshift-fusion-orf	ORF1a-S	"(946.6666666666666, 949)"	
16833	29160	42	106	9	16833 - 29160	12327						frameshift-fusion-orf	ORF1b-N	"(1122.0, 1122)"	
2504	11897	42	106	9	2504 - 11897	9393						in-frame-fusion-orf	ORF1a-ORF1a	"(746.3333333333334, 523.3333333333334)"	
14282	21005	42	106	9	14282 - 21005	6723						in-frame-fusion-orf	ORF1b-ORF1b	"(271.6666666666667, 182.33333333333334)"	
3202	18433	42	106	9	3202 - 18433	15231						frameshift-fusion-orf	ORF1a-ORF1b	"(979.0, 1008)"	
17278	24368	42	106	9	17278 - 24368	7090						in-frame-fusion-orf	ORF1b-S	"(1270.3333333333333, 338.6666666666667)"	
2503	17040	41	106	9	2503 - 17040	14537						in-frame-fusion-orf	ORF1a-ORF1b	"(746.0, 1504.0)"	
6134	27469	41	106	9	6134 - 27469	21335						in-frame-fusion-orf	ORF1a-ORF7a	"(1956.3333333333333, 96.66666666666667)"	
17498	28369	41	106	9	17498 - 28369	10871						frameshift-fusion-orf	ORF1b-N	"(1343.6666666666667, 1343)"	
11394	26779	41	106	9	11394 - 26779	15385						in-frame-fusion-orf	ORF1a-M	"(3709.6666666666665, 137.33333333333334)"	
16833	28013	41	106	9	16833 - 28013	11180						in-frame-fusion-orf	ORF1b-ORF8	"(1122.0, 82.0)"	
16833	29057	41	106	9	16833 - 29057	12224						frameshift-fusion-orf	ORF1b-N	"(1122.0, 1130)"	
2188	29203	41	106	9	2188 - 29203	27015						in-frame-fusion-orf	ORF1a-N	"(641.0, 110.0)"	
4296	16253	40	106	9	4296 - 16253	11957						in-frame-fusion-orf	ORF1a-ORF1b	"(1343.6666666666667, 1766.3333333333333)"	
