count	sgRNA ratio(%)	j5	j3	JS
2794	0.6670000000000001	22508	28271	22508 - 28271
2238	0.5343999999999999	9198	14006	9198 - 14006
1825	0.4357	2426	22035	2426 - 22035
1825	0.43579999999999997	11005	24861	11005 - 24861
1417	0.3384	209	16631	209 - 16631
1186	0.28330000000000005	8092	28271	8092 - 28271
1155	0.2758	1267	20519	1267 - 20519
904	0.2158	9678	18462	9678 - 18462
793	0.1894	3340	6507	3340 - 6507
583	0.13940000000000005	27800	29171	27800 - 29171
556	0.1328	8478	28271	8478 - 28271
551	0.13169999999999998	69	15776	69 - 15776
508	0.1213	27204	29374	27204 - 29374
450	0.10750000000000001	17278	24410	17278 - 24410
439	0.10480000000000005	16833	29171	16833 - 29171
435	0.10380000000000003	16833	29189	16833 - 29189
427	0.10210000000000001	16833	18799	16833 - 18799
418	0.09980000000000001	22566	28271	22566 - 28271
395	0.09430000000000002	16833	29167	16833 - 29167
375	0.08970000000000002	16833	29535	16833 - 29535
362	0.08630000000000003	14408	17995	14408 - 17995
339	0.0809	3823	28271	3823 - 28271
329	0.07850000000000001	2504	18799	2504 - 18799
324	0.0772	16833	18788	16833 - 18788
320	0.07640000000000001	2504	29189	2504 - 29189
313	0.0747	5184	14536	5184 - 14536
301	0.07179999999999999	2504	28269	2504 - 28269
300	0.0714	6429	23077	6429 - 23077
289	0.06909999999999998	14284	29535	14284 - 29535
288	0.06879999999999999	2504	12596	2504 - 12596
286	0.0682	14284	28269	14284 - 28269
281	0.06709999999999999	2504	29171	2504 - 29171
278	0.06629999999999998	4537	28258	4537 - 28258
275	0.0658	173	28271	173 - 28271
274	0.06549999999999999	16833	28531	16833 - 28531
271	0.0648	3227	28271	3227 - 28271
268	0.0639	16833	27149	16833 - 27149
266	0.06339999999999998	16833	27143	16833 - 27143
263	0.063	16833	29420	16833 - 29420
262	0.06239999999999998	2504	29353	2504 - 29353
262	0.062499999999999986	16833	29489	16833 - 29489
257	0.061399999999999996	1404	18646	1404 - 18646
251	0.05989999999999998	2504	11339	2504 - 11339
250	0.05969999999999998	16833	29272	16833 - 29272
248	0.05919999999999999	2504	12651	2504 - 12651
243	0.05809999999999999	2504	12616	2504 - 12616
242	0.05789999999999999	16833	29545	16833 - 29545
241	0.057499999999999996	16833	18795	16833 - 18795
241	0.05749999999999999	24891	28253	24891 - 28253
240	0.057099999999999984	16833	23451	16833 - 23451
