count	sgRNA ratio(%)	j5	j3	JS
961	6.337899999999999	14408	17995	14408 - 17995
540	3.5615	2918	21843	2918 - 21843
403	2.658	15661	19447	15661 - 19447
323	2.1303	72	27761	72 - 27761
280	1.8467	10792	16323	10792 - 16323
266	1.7544	17604	24743	17604 - 24743
186	1.2268	11108	28458	11108 - 28458
178	1.174	12150	14032	12150 - 14032
151	0.996	69	2688	69 - 2688
128	0.8442	20087	22430	20087 - 22430
126	0.831	10203	29479	10203 - 29479
125	0.8244	1395	26076	1395 - 26076
118	0.7783	27800	29171	27800 - 29171
104	0.6859	19157	26903	19157 - 26903
98	0.6464	5700	8770	5700 - 8770
94	0.62	9625	29456	9625 - 29456
94	0.62	16256	17656	16256 - 17656
88	0.5803	5370	20055	5370 - 20055
84	0.554	7201	29474	7201 - 29474
82	0.5408	4709	29430	4709 - 29430
76	0.5013	19970	21252	19970 - 21252
70	0.4616	7233	11504	7233 - 11504
65	0.4287	17101	19812	17101 - 19812
64	0.4221	28130	29493	28130 - 29493
62	0.4089	27803	29175	27803 - 29175
57	0.3759	9502	20639	9502 - 20639
54	0.3562	10492	13780	10492 - 13780
51	0.3364	22440	26878	22440 - 26878
44	0.2902	1304	25667	1304 - 25667
39	0.2572	11379	13454	11379 - 13454
36	0.2374	18417	26819	18417 - 26819
29	0.1913	10528	22229	10528 - 22229
27	0.1781	15552	18833	15552 - 18833
27	0.1781	68	4017	68 - 4017
27	0.1781	19853	25205	19853 - 25205
27	0.178	3056	13620	3056 - 13620
26	0.1715	71	2793	71 - 2793
24	0.1583	4984	28318	4984 - 28318
23	0.1517	7273	18367	7273 - 18367
22	0.1451	10617	21294	10617 - 21294
16	0.1055	7246	11520	7246 - 11520
15	0.0989	70	5591	70 - 5591
15	0.0989	16527	17831	16527 - 17831
15	0.0989	27802	29172	27802 - 29172
15	0.0989	16442	22186	16442 - 22186
15	0.0989	23317	27383	23317 - 27383
13	0.0857	27801	29163	27801 - 29163
13	0.0857	27794	29172	27794 - 29172
12	0.0791	4138	9801	4138 - 9801
12	0.0791	27606	29427	27606 - 29427
