count	sgRNA ratio(%)	j5	j3	JS
56473	12.099400000000003	12778	15606	12778 - 15606
13762	2.9486999999999997	6188	8953	6188 - 8953
5849	1.2532999999999996	72	28883	72 - 28883
5750	1.2319	14572	19215	14572 - 19215
5383	1.1536000000000004	2571	18325	2571 - 18325
4797	1.0274000000000003	725	28205	725 - 28205
4392	0.9407000000000001	241	23286	241 - 23286
3877	0.8307	21383	26873	21383 - 26873
3490	0.7477	5648	17003	5648 - 17003
2465	0.5281	7624	18848	7624 - 18848
2332	0.4998	3159	17134	3159 - 17134
2308	0.4948	660	2887	660 - 2887
1977	0.42350000000000015	14891	23192	14891 - 23192
1593	0.34120000000000006	21563	28262	21563 - 28262
1447	0.3101999999999999	3476	9840	3476 - 9840
1426	0.3055	9573	23462	9573 - 23462
1355	0.2903	5664	25359	5664 - 25359
1187	0.2543	12085	18032	12085 - 18032
1166	0.2499	22419	24047	22419 - 24047
1165	0.2496	8122	28632	8122 - 28632
1110	0.23779999999999998	13935	15263	13935 - 15263
1069	0.2291	14115	28257	14115 - 28257
1014	0.2174	13344	16498	13344 - 16498
940	0.20140000000000002	3558	20484	3558 - 20484
847	0.18119999999999997	8612	25680	8612 - 25680
741	0.1587	2304	19557	2304 - 19557
731	0.1566	9485	27957	9485 - 27957
713	0.15289999999999998	17087	24149	17087 - 24149
671	0.1437	712	26896	712 - 26896
635	0.13610000000000003	3090	11296	3090 - 11296
628	0.13459999999999997	22976	28256	22976 - 28256
620	0.1328	19522	28957	19522 - 28957
614	0.1315	13728	28940	13728 - 28940
592	0.1268	16833	29535	16833 - 29535
577	0.1236	22199	28072	22199 - 28072
575	0.12310000000000001	6429	16919	6429 - 16919
547	0.11720000000000001	2817	11288	2817 - 11288
546	0.11699999999999999	25481	26831	25481 - 26831
543	0.11639999999999999	20236	25359	20236 - 25359
525	0.1125	7968	24421	7968 - 24421
515	0.1103	4596	28261	4596 - 28261
501	0.1074	11924	28256	11924 - 28256
500	0.10720000000000003	16833	29545	16833 - 29545
497	0.10630000000000003	746	28257	746 - 28257
490	0.10500000000000002	15495	24786	15495 - 24786
479	0.1026	10570	29460	10570 - 29460
477	0.1023	21552	26468	21552 - 26468
470	0.10070000000000001	5918	19725	5918 - 19725
460	0.0985	4857	20356	4857 - 20356
448	0.096	23061	24068	23061 - 24068
